Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFCÐ22 Production from HFCÐ23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems Ð Offshore Production,Petroleum and Natural Gas Systems Ð Processing,Petroleum and Natural Gas Systems Ð Transmission/Compression,Petroleum and Natural Gas Systems Ð Underground Storage,Petroleum and Natural Gas Systems Ð LNG Storage,Petroleum and Natural Gas Systems Ð LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,Is some CO2 collected on-site and used to manufacture other products and therefore not emitted from the affected manufacturing process unit(s)? (as reported under Subpart G or S),"Is some CO2 reported as emissions from the affected manufacturing process unit(s) under Subpart AA, G or P collected and transferred off-site or injected (as reported under Subpart PP)?",Does the facility employ continuous emissions monitoring? ,
1001505,110000356356,Bowen,CARTERSVILLE,GA,30120,317 COVERED BRIDGE ROAD SW,Bartow,34.13,-84.92,221112,"C,D",Power Plants,"15,642,272.99","15,517,055.50","45,799.00","79,418.49",,,,,,,,,,"2,947.65","15,639,325.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1007504,110043787220,Martin Lake,Tatum,TX,75691,8850 FM 2658 North,Rusk,32.26,-94.57,221112,"C,D",Power Plants,"15,546,563.15","15,468,365.10","3,995.75","74,202.30",,,,,,,,,,"2,126.22","15,544,436.93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001194,110043788327,Gen J M Gavin,CHESHIRE,OH,45620,OHIO ROUTE 7,Gallia,38.93,-82.12,221112,"C,D",Power Plants,"15,573,619.00","15,451,055.20","44,830.50","77,733.30",,,,,,,,,,"8,611.21","15,565,007.79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001037,110000747924,Rockport,ROCKPORT,IN,47635,2791 NORTH US ROUTE 231,Spencer,37.93,-87.04,221112,"C,D",Power Plants,"15,537,793.10","15,416,040.50","44,532.75","77,219.85",,,,,,,,,,"12,903.54","15,524,889.55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000676,110000405927,Monroe,MONROE,MI,48161,3500 FRONT ST,Monroe,41.89,-83.35,221112,"C,D",Power Plants,"15,483,976.78","15,360,956.00","44,994.25","78,026.53",,,,,,,,,31.10,"5,856.41","15,478,120.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000999,110028287725,Navajo Generating Station,PAGE,AZ,86040,,Coconino,36.90,-111.39,221112,"C,D",Power Plants,"15,478,851.91","15,354,830.00","45,366.00","78,655.91",,,,,,,,,,64.20,"15,478,787.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000676,110000405927,Monroe,MONROE,MI,48161,3500 FRONT ST,Monroe,41.89,-83.35,221112,"C,D",Power Plants,"15,452,854.10","15,328,968.00","45,311.25","78,574.85",,,,,,,,,,"4,756.73","15,448,097.38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001030,110000592813,Gibson,OWENSVILLE,IN,47665,1097 N 950 W,Gibson,38.37,-87.77,221112,D,Power Plants,"15,450,755.16","15,323,974.40","46,375.00","80,405.76",,,,,,,,,,,"15,450,755.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001505,110000356356,Bowen,CARTERSVILLE,GA,30120,317 COVERED BRIDGE ROAD SW,Bartow,34.13,-84.92,221112,"C,D",Power Plants,"15,422,887.78","15,299,468.60","45,138.75","78,280.43",,,,,,,,,,"12,759.49","15,410,128.28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1006868,110000608254,W A Parish,THOMPSONS,TX,77469,YU JONES RD,Fort Bend,29.48,-95.64,221112,"C,D",Power Plants,"15,397,043.85","15,280,151.80","42,809.25","74,082.80",,,,,,,,,,"14,166.10","15,382,877.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000192,110000440470,Labadie,LABADIE,MO,63055,226 LABADIE POWER PLANT ROAD,Franklin,38.56,-90.84,221112,D,Power Plants,"15,330,244.95","15,210,062.50","43,961.50","76,220.95",,,,,,,,,,,"15,330,244.95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000676,110000405927,Monroe,MONROE,MI,48161,3500 FRONT ST,Monroe,41.89,-83.35,221112,"C,D",Power Plants,"15,216,832.22","15,097,872.60","43,509.00","75,450.62",,,,,,,,,,"3,208.90","15,213,623.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1000676,110000405927,Monroe,MONROE,MI,48161,3500 FRONT ST,Monroe,41.89,-83.35,221112,"C,D",Power Plants,"15,143,704.88","15,028,118.30","42,275.00","73,311.58",,,,,,,,,,"7,380.03","15,136,324.84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001505,110000356356,Bowen,CARTERSVILLE,GA,30120,317 COVERED BRIDGE ROAD SW,Bartow,34.13,-84.92,221112,"C,D",Power Plants,"15,051,886.12","14,931,372.00","44,079.50","76,434.62",,,,,,,,,,"3,344.60","15,048,541.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1005830,110000380882,Paradise,DRAKESBORO,KY,42337,13246 STATE ROUTE 176/STE 10,Muhlenberg,37.26,-86.98,221112,"C,D",Power Plants,"14,930,316.80","14,850,256.40","3,988.75","76,071.65",,,,,,,,,,19.10,"14,930,297.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001020,110041982520,Colstrip,COLSTRIP,MT,59323,1 WAREHOUSE ROAD,Rosebud,45.88,-106.61,221112,D,Power Plants,"14,907,331.44","14,796,150.30","40,666.00","70,515.14",,,,,,,,,,,"14,907,331.44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
1001192,110007899970,Jim Bridger,POINT OF ROCKS,WY,82942,35 MILES EAST OF ROCK SPRINGS,Sweetwater,41.7378,-108.7875,221112,D,Power Plants,"14,884,410.05","14,767,803.40","42,650.50","73,956.15",,,,,,,,,,,"14,884,410.05",,,,,,,,,,,,,,,,,,,,,,,N,N,N,,,,,,,,,,,,,,
1007504,110043787220,Martin Lake,Tatum,TX,75691,8850 FM 2658 North,Rusk,32.26,-94.57,221112,"C,D",Power Plants,"14,844,878.86","14,732,983.20","40,921.00","70,974.66",,,,,,,,,,"2,401.56","14,842,477.30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,
